id,county,category-en,subcategory-en,organization,address,address2,pobox,city,state,zipcode,longitude,latitude,phone,fax,email,website-en,website-es,hours-en,hours-es,transportation-en,transportation-es,translation-en,translation-es,bilingual-en,bilingual-es,documents-en,documents-es,citizenship-en,citizenship-es,cost-en,cost-es,notes-en,notes-es,internal-note-en,notes-internal-en,notes-internal-es,amy-notes-en,amy-notes-es
11,Albany,Legal aid,Immigration law,Albany County Bar Association,112 State Street,Suite 545,,Albany,NY,12207,-73.754219,42.650051,(518) 445-7691,(518) 445-7511,acba@albanycountybar.com,www.albanycountybar.org,www.albanycountybar.org,M-F 8:30 AM-4:30 PM,lunes - viernes 8:30AM-4:30PM,No,No,Yes,Sí,No,No,None,Ninguno,Not required,No es requerida,No cost,No hay costo,,,,Association provides pro bono work.,Association provides pro bono work.,,
12,Albany,Legal aid,Immigration law; Family law; Other law; Labor rights,Empire Justice Center,119 Washington Ave,,,Albany,NY,12210,-73.759864,42.655554,(518) 462-6831,(518) 935-2852,bweiner@empirejustice.org,www.empirejustice.org,www.empirejustice.org,M-F 9:00 AM-5:00 PM,lunes - viernes 9:00AM-5:00PM,Depends on the program,Depende del programa,Yes,Sí,Yes,Sí,None,Ninguno,Not required,No es requerida,No cost,No hay costo,,,,"Works on immigration cases relevant to obtaining public benefits or documenting domestic violence. Work through other legal service programs. Deal with cases regarding Civil Rights, Domestic Violence, Economic Justice, Housing, Education, Government Benefits, Health, Immigration, Social Security.","Works on Inmigración (deportación, ciudadanía y regularización) cases relevant to obtaining public benefits or documenting Violencia domestica. Work through other legal service programs. Deal with cases regarding Civil Rights, Domestic Violence, Economic Justice, Vivienda, Educación, Government Benefits, Salud, Inmigración (deportación, ciudadanía y regularización), Social Security.",,
13,Albany; Washington,Legal aid,Family law; Other law; Labor rights,"Legal aid Society of Northeastern New York, Inc.",95 Central Ave,,,Albany,NY,12206,-73.766222,42.659576,(518) 462-6765,(518) 427-8352,,www.lasnny.org,www.lasnny.org,M-F 9:00 AM-12:00 PM and 1:00 PM-5:00 PM,lunes - viernes 9:00AM-12:00PM y 1:00PM-5:00PM,No,No,Yes,Sí,No,No,Proof of county residency,Prueba de residencia en el condado,Caution: Proof of citizenship may be required for some programs,PRECAUCIÓN: Prueba de ciudadanía puede ser requerida por algunos programas,No cost,No hay costo,"No email, must call for legal screening",Tiene que llamar para una entrevista legal,,"Counties Served: Albany, Columbia, Greene, Rensselaer, Schenectady Case Types:Bankruptcy; Dissolution of Marriage, Domestic Violence, Education, Elder Law, Employment, Health, Housing, Public Benefits, Termination of Parental Rights, Wills and Estates.","Counties Served: Albany, Columbia, Greene, Rensselaer, Schenectady Case Types:Benkrupcy; Dissolution of Marriage, Domestic Violence, Educación, Elder Law, Employment, Salud, Vivienda, Public Benefits, Termination of Parental Rights, Wills and Estates.",,
14,Albany,Legal aid,Immigration law; Family law; Other law; Labor rights,The Legal Project,24 Aviation Road,,,Albany,NY,12205,-73.803101,42.715554,(518) 435-1770,(518) 435-1773,info@legalproject.org,http://www.legalproject.org/,http://www.legalproject.org/,M-F 9:00 AM-5:00 PM,lunes - viernes 9:00AM-5:00PM,No,No,"Yes, Spanish, Turkish, Arabic, French","Sí: español, turco, árabe, francés",Yes,Sí,"Yes, certain documents required, call organization for more details",Sí,Not required,No es requerida,Yes,Varía según los servicios,,,,Clothing; Other needs; Domestic violence; Victim services; Affordable housing; Parenting support; Programs for kids; Family law; Utility assistance; Job search assistance; Training; Career advice,"Counties Served:ë_Albany, Rensselaer, Saratoga, Schenectady. Location in Troy: Troy Public Library (Rensselaer County) 100 Second Street Troy, NY 12180 Phone: (518) 274.7071 Fax: (518) 274.9154 ë_ Website: thetroylibrary.org Available Hours: First Thursday of every month. Case Types:ë_AIDS/HIV, Adoption, Bankruptcy, Consumer, Custody, Dissolution of Marriage, Domestic Violence, Educación, Elder Law, Employment, Salud, Vivienda, Inmigración (deportación, ciudadanía y regularización), Individual Rights, Juvenile, Public Benefits, Real Estate, Termination of Parental Rights, Torts, Wills and Estates. Case Restrictions:ë_The Legal Clinics are Educación and consultation only. Representation in the Vivienda accesible Attorney Assistance program, the Bankruptcy & Credit program and the Domestic Violence Legal Connection is offered at pro bono or reduced fee, depending upon the client's income. We offer pro bono services to 200% of the federal poverty guideline. We can provide referrals to private Inmigración (deportación, ciudadanía y regularización) Attorneys to qualified clients. Our Staff can assist you complete certain forms at no cost, such as N400 Application for Naturalization, N600 Application for Certificate of Citizenship, Consideration for Deferred Action for Childhood Arrivals (DACA), etc.",,
15,Albany,Legal aid,Immigration law,New York State Bar Association Department of Pro Bono Affairs,1 Elk Street,,,Albany,NY,12207,-73.75416,42.653159,(518) 463-3200,(518) 463-5993,probono@aila.org,https://nysba.org,https://nysba.org,M-F 9:00 AM-5:00 PM,lunes - viernes 9:00AM-5:00PM,No,No,Yes,Sí,By appointment,Con cita,"Yes, certain documents required, call organization for more details",Sí,Not required,No es requerida,No cost,No hay costo,,,,List of statewide members. Referral service.,List of statewide members. Referral service.,,
17,Allegany,Labor; Programs for families; Education,Job search assistance; Training; Career advice; Programs for kids,Allegany County Employment and Training Department,7 Wells Lane,,,Belmont,NY,14813,-78.034203,42.223147,(585) 268-9240,(585) 268-5176,alleganyent@alleganyco.com,https://www.alleganyco.com/departments/employment-and-training/,https://www.alleganyco.com/departments/employment-and-training/,M-F 8:00 AM-4:30 PM; Summer hours M-F 8:00 AM-4:00 PM,lunes - viernes 8:00AM-4:30PM; horario de verano es lunes - viernes 8:00AM-4:00PM,No,No,By appointment,Con cita,By appointment,Con cita,"Yes, certain documents required, call organization for more details",Sí,Caution: Proof of citizenship may be required for some programs,PRECAUCIÓN: Prueba de ciudadanía puede ser requerida por algunos programas,No cost,No hay costo,,,,"One-stop workforce services, job database, career services and counseling, referrals and help paying for training and education, clothes.","One-stop workforce services, job database, career services and counseling, referrals and help paying for training and Educación, clothes.",AS-organized info/need to call,AS-organized info/need to call
18,Allegany,Financial help; Education; Programs for families; Mental health; Housing,Personal finances; Programs for kids; Emergency financial aid; Food; Domestic violence; Affordable housing; Housing improvements; Utility assistance,"Allegany County Community Opportunities and Rural Development, Inc. [ACCORD]",84 Schuyler St,,,Belmont,NY,14813,-78.031134,42.225137,(585) 268-7605,(585) 268-7241,info@accordcorp.org,www.accordcorp.org,www.accordcorp.org,"M, W, Th 8:00 AM-4:00 PM; T 8:00 AM-6:00 PM; F 8:00 AM-3:30 PM","lunes, miércoles, jueves 8:00AM-4:00PM; martes 8:00AM-6:00PM; viernes 8:00AM-3:30PM",Bus tokens/gas cards provided when funds are available,"Pases para autobuses públicos, o dinero para gasolina cunado hay fondos disponibles",By appointment,Con cita,By appointment,Con cita,"Yes, certain documents required, call organization for more details",Sí,Not required,No es requerida,No cost,No hay costo,,,,"Food pantry, head start, emergency hotline and shelter for victims of domestic violence, advocacy programs for homelessness.","Alimentos pantry, head start, emergency hotline and shelter for victims of Violencia domestica, advocacy programs for homelessness.",AS-organized info/need to call,AS-organized info/need to call
19,Allegany,Mental health; Emergency assistance; Programs for families; Housing; Financial help; Referral to other agencies,Psychological support; Domestic violence; Food; Parenting support; Utility assistance; Emergency financial aid,Catholic Charities of Western New York - Wellsville,67 E Pearl St,,,Wellsville,NY,14895,-77.948533,42.124343,(585) 593-2015,,https://www.ccwny.org/contact-us,https://www.ccwny.org,https://www.ccwny.org,By appointment,Por cita,No,No,"No, sometimes someone in another office Spanish speaker","No, pero a veces hay personas en otras oficinas que hablan español",No,No,None,No,Not required,No es requerida,"No cost, except counseling","Gratis, excepto por servicios de asesoramiento",,,,"Emergency food and utility bill assistance, counseling.","Emergency food and utility bill assistance, counseling.",AS-organized info/need to call,AS-organized info/need to call
20,Allegany,Education; Labor,ESL; Adult education; Career education; Job search assistance; Training,CORE,5455 NY 19,,,Belmont,NY,14813,-78.052737,42.235716,(844) WNY-CORE; (844) 969-2673,(585) 228.1015,cgraff@lwny.org,https://core2learn.org/,https://core2learn.org/,M-F 8:30 AM- 4:00 PM,lunes - viernes 8:30AM -4:00PM,No,No,Yes,Sí,Yes,Sí,None,No,Not required,No es requerida,No cost,No hay costo,,,,,,,
21,Allegany,Elderly services; Referral to other agencies; Health,,New York State Office of the Aging,6085 Route 19,,,Belmont,NY,14813,-78.066715,42.26318,(585) 268-9390,(585) 268-9657,https://aging.ny.gov/contact-us,https://aging.ny.gov,https://aging.ny.gov,M-F 9:00 AM- 5:00 PM,lunes - viernes 9:00AM-5:00PM,No,No,No,No,No,No,None,No,Caution: Proof of citizenship may be required for some programs,PRECAUCIÓN: Prueba de ciudadanía puede ser requerida por algunos programas,Varies,Varía según los servicios,,,,,,,
22,Allegany,Education,ESL; Adult education,"Southern Tier Traveling Teacher, Inc.",79 1/2 North Main Street,,,Wellsville,NY,14895,-77.947062,42.120967,(585) 593-5921,,sttt1@verizon.net,https://www.nld.org/southern-tier-traveling-teacher-inc,https://www.nld.org/southern-tier-traveling-teacher-inc,M-F 9:00 AM- 4:00 PM,lunes - viernes 9:00 AM-4:00 PM,Teachers travel to students,Maestros viajan a las casas de sus estudiantes,Yes,Sí,No,No,None,No,Not required,No es requerida,No cost,Gratis,,,,Only serve people 16 years and older,Only serve people 16 years and older,,
23,Bronx,Health; Mental health,Psychological support; General medicine,BOOM! Health Wellness Center,3144 3rd Ave,,,Bronx,NY,10451,-73.91056,40.822232,(718) 295-BOOM,,info@boomhealth.org,https://www.boomhealth.org,https://www.boomhealth.org,Prevention programming M-F 9:00 AM-5:00 PM; Youth Drop-in Center Tu-F 2:00 PM- 7:00 PM; Sat 12:00 PM-5:00 PM,Programas de prevención es lunes-viernes 9:00AM -5:00PM; Drop-in Center para jovenes es martes-viernes 2:00PM-7:00PM; sábado 12:00PM-5:00PM,No,No,Yes,Sí,No,No,None,No,Not required,No es requerida,No cost,No hay costo,,,,Cases: HIV/AIDS.,Cases: HIV/AIDS.,AS-organized info/need to call,AS-organized info/need to call
24,Bronx,Health; Mental health,Psychological support; General medicine,BOOM! Harm Reduction Center,226 East 144th Street,,,Bronx,NY,10451,-73.925471,40.815725,(718) 295-BOOM,,info@boomhealth.org,https://www.boomhealth.org,https://www.boomhealth.org,M-F 9:00 AM-6:30 PM; Sat 9:00 AM-3:00 PM,lunes - viernes 9:00AM-6:30PM; sábado 9:00AM-3:00PM,No,No,Yes,Sí,No,No,ID: Health insurance card if you have one,Prueba de identidad; Tarjeta de aseguranza de salud si tiene,Not required,No es requerida,Varies,Varía según los servicios,,,,Cases: HIV/AIDS.,Cases: HIV/AIDS.,AS-organized info/need to call,AS-organized info/need to call
25,Bronx,Labor,Job search assistance; Training,NYC Workforce1 Career Center,2619 Atlantic Ave,,,Brooklyn,NY,11207,-73.897747,40.675867,(646) 606-0301,,https://www1.nyc.gov/assets/home/html/accessnyc/html/contactaccessnyc.html,https://access.nyc.gov/location/workforce1-career-center-east-new-york/,https://access.nyc.gov/location/workforce1-career-center-east-new-york/,M-F 8:30 AM-5:00 PM,lunes - viernes 8:30AM-5:00PM,No,No,Yes,Sí,No,No,None,Ninguno,"Not required for in office services, but may be required by employers who they will connect you with","No es requerida para aceso al servicios, pero puede ser requerido por empleadores",No cost,No hay costo,,,,Full service.,Full service.,AS-organized info/need to call,AS-organized info/need to call
26,Broome,Legal aid; Education; Labor; Programs for families,Immigration law; ESL; Adult education; Citizenship preparation; Career education; Job search assistance; Training; Programs for kids,American Civic Association,131 Front St,,,Binghamton,NY,13905,-75.917677,42.099792,(607) 723-9419,(607) 723-0023,contact@americancivic.com,www.americancivic.com,www.americancivic.com,M-Th 9:00 AM-4:00 PM; F 9:00 AM-2:00 PM,lunes-jueves 9:00AM-4:00PM; viernes 9:00AM-2:00PM,No,No,Yes,Sí,Yes,Sí,None,Ninguno,"Not required for ESL classes, but proof of citizenship required for some programs","No es requerida por clases de inglés, pero prueba de ciudadania puede ser requerida por otros programas",No cost,No hay costo,,,,"Assists immigrants and refugees with a variety of issues, including counseling, resettlement, citizenship issues, interpreting, translating, and ESL.","Assists immigrants and refugees with a variety of issues, including counseling, resettlement, citizenship issues, interpreting, translating, and Clases de inglés.",AS-organized info/need to call,AS-organized info/need to call
28,Broome; Tioga,Education,Adult education; ESL,"Literacy Volunteers of Broome/Tioga Counties, Inc.",185 Court St,,,Binghamton,NY,13901,-75.906862,42.100247,(607) 778-6406,(607) 778-6402,lvbtc@gmail.com,https://broometiogaliteracy.org/contact/,https://broometiogaliteracy.org/contact/,M-F 10:30 AM-2:30 PM; Other hours by appointment,lunes - viernes 10:30AM-2:30PM; otras horas por cita,No,No,No,No,No,No,ID: will ask for SS# but it is not required,"Prueba de identidad; Pedirán número de seguro social, pero no es necesario para recibir servicios si no tiene uno",Not required,No es requerida,No cost,No hay costo,,,,"Computer lab available, called TALL (Tioga Adult Learning Lab). Call to register in order to use the lab. ESL is one-on-one in a public place, 12 hours of instruction required with a pre- and post-test.","Computer lab available, called TALL (Tioga Adult Learning Lab). Call to register in order to use the lab. Clases de inglés is one-on-one in a public place, 12 hours of instruction required with a pre- and post-test.",AS-organized info/need to call,AS-organized info/need to call
29,Chenango; Broome; Chemung; Cortland; Delaware; Otsego; Schoharie; Schuyler; Onondaga; Cayuga; Tompkins; Tioga,Education,ESL,METS (Migrant Education Tutorial and Support Services),21 Graham Ave,B-105 Van Hoesen Hall SUNY Cortland,,Cortland,NY,13045,-76.191917,42.597302,(646) 734-5348,,chris.casler@cortland.edu,www.nysmigrant.org/mets,www.nysmigrant.org/mets,M-F 9:00 AM-5:00 PM,lunes - viernes 9:00AM-5:00PM,Teachers travel to students,Maestros viajan a las casas de sus estudiantes,Yes,Sí,No,No,None,Ninguno,Not required,No es requerida,No cost,No hay costo,"This office serves Broome, Cayuga, Chemung, Chenango, Cortland, Delaware, Otsego, Onondaga, Schoharie, Schuyler, Tioga and Tompkins counties","Servicios para los condados siguientes: Broome, Cayuga, Chemung, Chenango, Cortland, Delaware, Otsego, Onondaga, Schoharie, Schuyler, Tioga y Tompkins",,Provide ESL services to people 21 years or younger,Provide Clases de inglés services to people 21 years or younger,,
30,Broome,Programs for families; Emergency assistance; Housing,Programs for kids; Emergency shelter; Other needs; Affordable housing,"Opportunities For Broome, Inc",5 West State St,,,Binghamton,NY,13901,-75.908056,42.108234,(607) 723-6493,(607) 723-6497,https://greaterops.org/organization-info/contact,http://ofbonline.org/,http://ofbonline.org/,M-F 8:00 AM-4:00 PM,lunes - viernes 8:00AM-4:00PM,No,No,No,No,No,No,None,Ninguno,Not required,No es requerida,Depends on the program,Depende del programa,,,,"Services include family development, Head Start (five licensed centers throughout rural Broome County), Homeless Assistance, Low and Moderate Income Housing","Services include family development, Head Start (five licensed centers throughout rural Broome County), Homeless Assistance, Low and Moderate Income Vivienda",AS-organized info/need to call,AS-organized info/need to call
31,Broome,Programs for families; Labor,Parenting support; Educational support,Urban League of Broome County,85 Walnut Street,(Temporary Main Office),,Binghamton,NY,13901,-75.923534,42.100507,(607) 723-7303,(607) 723-5827,rshporter@bcul.org,http://www.bcul.org,http://www.bcul.org,M-F 9:00 AM-4:00 PM,lunes - viernes 9:00AM-4:00PM,No,No,No,No,By appointment,Con cita,None,Ninguno,Not required,No es requerida,Small fee,Costo bajo,,,,"Provides literacy and technology classes tailored to meet the needs of the individual. Also operates the _ÑÒCenter of Help,_Ñ which provides services and referrals to individuals in need of housing, employment, food, or education. Contact Shelley Lay at slay@bcul.org for information about literacy classes, Karen Wike at kwike@bcul.org for information about technology classes, or Meggan Taylor at mtaylor@bcul.org for information about Family Support Services. Also provides afterschool programming for elementary, middle and high school students. Most programs are free and just require any form of photo ID, but subsidized, income based programs require documentation such as proof of residency, passport, birth certificate, etc.","Provides literacy and technology classes tailored to meet the needs of the individual. Also operates the _ÑÒCenter of Help,_Ñ which provides services and referrals to individuals in need of Vivienda, employment, food, or Educación. Contact Shelley Lay at slay@bcul.org for information about literacy classes, Karen Wike at kwike@bcul.org for information about technology classes, or Meggan Taylor at mtaylor@bcul.org for information about Family Support Services. Also provides afterschool programming for elementary, middle and high school students. Most programs are free and just require any form of photo ID, but subsidized, income based programs require documentation such as proof of residency, passport, birth certificate, etc.",,
32,Broome,Labor,Job search assistance; Training,Urban League of Broome County - Technology Center,36 Exchange Street,,,Binghamton,NY,13901,-75.908988,42.09651,(607) 772-4765,(607) 772-4771,rshporter@bcul.org,http://www.bcul.org,http://www.bcul.org,M-F 9:00 AM-4:00 PM,lunes - viernes 9:00AM-4:00PM,No,No,No,No,By appointment,Con cita,None,Ninguno,Not required,No es requerida,Small fee,Costo bajo,,,,"Provides literacy and technology classes tailored to meet the needs of the individual. Also operates the _ÑÒCenter of Help,_Ñ which provides services and referrals to individuals in need of housing, employment, food, or education. Contact Shelley Lay at slay@bcul.org for information about literacy classes, Karen Wike at kwike@bcul.org for information about technology classes, or Meggan Taylor at mtaylor@bcul.org for information about Family Support Services. Also provides afterschool programming for elementary, middle and high school students. Most programs are free and just require any form of photo ID, but subsidized, income based programs require documentation such as proof of residency, passport, birth certificate, etc.","Provides literacy and technology classes tailored to meet the needs of the individual. Also operates the _ÑÒCenter of Help,_Ñ which provides services and referrals to individuals in need of Vivienda, employment, food, or Educación. Contact Shelley Lay at slay@bcul.org for information about literacy classes, Karen Wike at kwike@bcul.org for information about technology classes, or Meggan Taylor at mtaylor@bcul.org for information about Family Support Services. Also provides afterschool programming for elementary, middle and high school students. Most programs are free and just require any form of photo ID, but subsidized, income based programs require documentation such as proof of residency, passport, birth certificate, etc.",,
33,Broome,Health; Referral to other agencies; Programs for families; Emergency assistance; Mental health; Transportation,Health accessibility; Psychological support; Food; Programs for kids,"Deposit Foundation, Inc.",119 Front St,,,Deposit,NY,13754,-75.426803,42.06064,(607) 467-4000,(607) 467-4399,depositfoundation@gmail.com,https://www.depositfoundation.com/programs,https://www.depositfoundation.com/programs,M W F 9:00 AM-12:00 PM and 1:00 PM-4:00 PM,"lunes, miercoles y viernes 9:00 AM-12:00 PM y 1:00 PM-4:00 PM",Yes,Sí,No,No,No,No,ID,Prueba de identidad,Not required,No es requerida,By donation,No hay costos pero puede donar lo que pueda,,,,"Provides transportation to medical appointments for Deposit and Sanford residents with no other means of transportation. Call preferably at least a week in advance. Provides an assistance and referral program as well for patients with other questions, for those in both Broome and Delaware Counties.","Provides transportation to medical appointments for Deposit and Sanford residents with no other means of transportation. Call preferably at least a week in advance. Provides an assistance and referral program as well for patients with other questions, for those in both Broome and Delaware Counties.",,
34,Broome,Legal aid,Other law; Family law,"Legal aid Society of Mid-New York, Inc.",168 Water St,Second floor,,Binghamton,NY,13901,-75.914084,42.099363,(607) 231-5900,(607) 724-7211,,https://www.lasmny.org/,https://www.lasmny.org/,M-F 9:00 AM-5:00 PM,lunes - viernes 9:00AM-5:00PM,No,No,Yes,Sí,Yes,Sí,None,Ninguno,Not required,No es requerida,No cost,No hay costo,"No email, must call for legal screening",Tiene que llamar para una entrevista legal,,"Provides legal services and representation to low-income population, Farmworker Project Immigration Project located at Utica office.","Provides legal services and representation to low-income population, Farmworker Project Inmigración (deportación, ciudadanía y regularización) Project located at Utica office.",,
