id,internal-note,county,category,subcategory,organization,address,address2,pobox,city,state,zipcode,longitude,latitude,phone,fax,email,website,hours,transportation,translation,bilingual,documents,citizenship,cost,notes,notes-internal,amy-notes
18,,Allegany,Ayuda financiera; Educación; Ayuda financiera; Programas para familias; Salud mental; Vivienda,Finanzas personales; Asistencia para pagos de utilidad; Programas para niños,"Allegany County Community Opportunities and Rural Development, Inc. [ACCORD]",84 Schuyler St,,,Belmont,NY,14813,-78.031134,42.225137,(585) 268-7605,(585) 268-7241,info@accordcorp.org,www.accordcorp.org,lunes - jueves 8:00AM-4:00PM; viernes 8:00AM-3:30PM,Vales de autobús o dinero para gasolina disponible,Por teléfono,No,Sí,No requerido,Gratis,,"Alimentos pantry, head start, emergency hotline and shelter for victims of Violencia domestica, advocacy programs for homelessness.",AS-organized info/need to call 
19,,Allegany,Salud mental; Asistencia en casos de emergencia; Programas para familias; Vivienda; Ayuda financiera; Referencias a otros servicios,Apoyo psicológico; Violencia domestica; Alimentos; Apoyo para los padres; Asistencia para pagos de utilidad; Ayuda financiera de emergencia; ,Catholic Charities of Western New York ,67 E Pearl St,,,Wellsville,NY,14895,-77.948533,42.124343,(585) 593-2015,,https://www.ccwny.org/contact-us,https://www.nyconnects.ny.gov/providers/catholic-charities-of-western-new-york-32,Por cita,No,"No, a veces español",No,No,No requerido,Gratis,,"Emergency food and utility bill assistance, counseling.",AS-organized info/need to call 
20,,Allegany,Educación; Trabajo,Clases de inglés; Cursos para adultos; Capacitación profesional; Conseguir trabajo; Entrenamiento para el trabajo,CORE,5455 NY 19,,,Belmont,NY,14813,-78.052737,42.235716,(844)  WNY-CORE; (844) 969-2673,(585) 228.1015,cgraff@lwny.org,http://core2learn.org/index.html,lunes - viernes 8:30AM - 4:00PM,No,Sí,Sí,No,No requerido,Gratis,,,
21,,Allegany,Servicios para los ancianos; Referencias a otros servicios; Salud,,New York State Office of the Aging,6085 Route 19,,,Belmont,NY,14813,-78.066715,42.263180,(585) 268-9390,(585) 268-9657,NYSOFA@aging.ny.gov,www.aging.ny.org,lunes - viernes 9:00AM- 5:00PM,No,No,No,No,PRECAUCIÓN: Prueba de ciudadania puede ser requerido por algunos programas,Varía según los servicios,,,
22,,Allegany,Educación,Clases de inglés; Cursos para adultos,"Southern Tier Traveling Teacher, Inc. ",79 1/2 North Main Street,,,Wellsville,NY,14895,-77.947062,42.120967,(585) 593-5921,,sttt1@verizon.net,https://www.ndl.org/southern-tier-traveling-teacher-inc,lunes - viernes 9:00 AM - 4:00 PM,Maestros viajan a las casas de sus estudiantes,Sí,No,No,No requerido,Gratis,,Only serve people 16 years and older,
23,,Bronx,Salud; Salud mental,Apoyo psicológico; Medicina general,BOOM! Health Wellness Center,3144 3rd Ave,,,Bronx,NY,10451,-73.910560,40.822232,(718) 295-BOOM,,info@boomhealth.org,https://www.boomSalud.org,"Programas de prevención, lunes - viernes 9:00 - 5:00PM; Drop-in Center para jovenes martes -viernes 2:00PM - 7:00PM; sabado 12:00PM-5:00PM",No,Sí,No,No,No requerido,Gratis,,Cases: HIV/AIDS.,AS-organized info/need to call 
24,,Bronx,Salud; Salud mental,Apoyo psicológico; Medicina general,BOOM! Harm REducación Center,226 East 144th Street,,,Bronx,NY,10451,-73.925471,40.815725,(718) 295-BOOM,,info@boomhealth.org,https://www.boomSalud.org,lunes - viernes 9:00 - 6:30PM  sabado 9:00AM-3:00PM,No,Sí,No,Prueba de identidad; Tarjeta de aseguranza de salud si tiene,No requerido,Varía según los servicios,,Cases: HIV/AIDS.,AS-organized info/need to call 
25,,Bronx,Educación,Conseguir trabajo; Entrenamiento para el trabajo,NYC Workforce1 Career Center,2619 Atlantic Ave,,,Brooklyn,NY,11207,-73.897747,40.675867,(646) 606-0301 ,,https://www1.nyc.gov/assets/home/html/accessnyc/html/contactaccessnyc.html,https://access.nyc.gov/location/workforce1-career-center-east-new-york/,lunes - viernes 8:30AM-5:00PM,No,Sí,No,No,"No requerido para aceso al servicios, pero puede ser requerido por empleadores",Gratis,,Full service.,AS-organized info/need to call 
26,,Broome,Asistencia legal; Educación; Trabajo; Programas para familias,"Inmigración (deportación, ciudadanía y regularización)",American Civic Association,131 Front St,,,Binghamton,NY,13905,-75.917677,42.099792,(607) 723-9419,(607) 723-0023,contact@americancivic.com,www.americancivic.com,lunes - jueves 9:00AM-4:00PM; viernes 9:00AM-2:00pm,No,Sí,Sí,No,No requerido por clases de inglés; Prueba de ciudadania puede ser requerido por algunos programas,Gratis,,"Assists immigrants and refugees with a variety of issues, including counseling, resettlement, citizenship issues, interpreting, translating, and Clases de inglés.",AS-organized info/need to call 
27,,Broome,Educación; Trabajo,Clases de inglés; Cursos para adultos,Broome-Tioga Board of Cooperative Educaciónal Services (BOCES) ,435 Glenwood Rd,,,Binghamton,NY,13905,-75.931826,42.129738,(607) 763-3300,,adulted@btboces.org; dsbarra@btboces.org,www.btboces.org,lunes - viernes 7:00AM-3:00PM,No,No,No,Prueba de dirección,No requerido por clases de inglés; Prueba de ciudadania puede ser requerido por algunos programas,Varía según los servicios,,"For information about Programas para familias, contact Linda Quaranto at 607-763-3233 or lquarant@btboces.org. Provides GED and Clases de inglés classes. Nighttime Clases de inglés classes offered at the Main Campus all summer. Show up to register.",AS-organized info/need to call 
28,,Broome,Educación,Cursos para adultos; Clases de inglés,"Literacy Volunteers de los condados de Broome/Tioga, Inc.",185 Court St,,,Binghamton,NY,13901,-75.906862,42.100247,(607) 778-6406,(607) 778-6402,lvbtc@gmail.com,https://broometiogaliteracy.org/contact/,lunes - viernes 10:30AM-2:30PM; otras horas por cita,No,No,No,"Prueba de identidad; Van a pedir si tiene un numero de seguridad, pero no es necessario para recibir servicios",No requerido,Gratis,,"Computer lab available, called TALL (Tioga Adult Learning Lab). Call to register in order to use the lab. Clases de inglés is one-on-one in a public place, 12 hours of instruction required with a pre- and post-test.",AS-organized info/need to call 
29,,Broome,Educación,Clases de inglés,METS (Migrant Educación Tutorial and Support Services),21 Graham Ave,B-105 Van Hoesen Hall SUNY Cortland,,Cortland,NY,13045,-76.191917,42.597302,(646) 734-5348,,chris.casler@cortland.edu,www.nysmigrant.org/mets,lunes - viernes 9:00AM-5:00PM,Maestros viajan a las casas de sus estudiantes,Sí,No,No,No requerido,Gratis,"Servicios para los condados siguientes: Broome, Cayuga, Chemung, Chenango, Cortland, Delaware, Otsego, Onondaga, Schoharie, Schuyler, Tioga y Tompkins",Provide Clases de inglés services to people 21 years or younger,
30,,Broome,Programas para familias; Asistencia en casos de emergencia; Vivienda,Programas para niños; Refugio de emergencia; Otras necesidades; Vivienda accesible,"Opportunities For Broome, Inc",5 West State St,,,Binghamton,NY,13901,-75.908056,42.108234,(607) 723-6493,(607) 723-6497,http://ofbonline.org/index.php/contact-us/,http://ofbonline.org/,lunes - viernes 8:00AM-4:00PM,No,No,No,No,No requerido,Varía según los servicios,,"Services include family development, Head Start (five licensed centers throughout rural Broome County), Homeless Assistance, Low and Moderate Income Vivienda",AS-organized info/need to call 
31,,Broome,Programas para familias; Trabajo,Apoyo educativo,Urban League of Broome County,85 Walnut Street,(Temporary Main Office),,Binghamton,NY,13901,-75.923534,42.100507,(607) 723-7303,(607) 723-5827,rshporter@bcul.org,http://www.bcul.org,lunes - viernes 9:00AM-4:00PM,No,No,Se puede pedir,No,No requerido,Costos pequeños,,"Provides literacy and technology classes tailored to meet the needs of the individual. Also operates the _ÑÒCenter of Help,_Ñ which provides services and referrals to individuals in need of Vivienda, employment, food, or Educación. Contact Shelley Lay at slay@bcul.org for information about literacy classes, Karen Wike at kwike@bcul.org for information about technology classes, or Meggan Taylor at mtaylor@bcul.org for information about Family Support Services. Also provides afterschool programming for elementary, middle and high school students. Most programs are free and just require any form of photo ID, but subsidized, income based programs require documentation such as proof of residency, passport, birth certificate, etc.",
32,,Broome,Trabajo,Conseguir trabajo; Capacitación profesional,Urban League del Condado de Broome - Technology Center,36 Exchange Street ,,,Binghamton,NY,13901,-75.908988,42.096510,(607) 772-4765,(607) 772-4771,rshporter@bcul.org,http://www.bcul.org,lunes - viernes 9:00AM-4:00PM,No,No,Se puede pedir,No,No requerido,Costos pequeños,,"Provides literacy and technology classes tailored to meet the needs of the individual. Also operates the _ÑÒCenter of Help,_Ñ which provides services and referrals to individuals in need of Vivienda, employment, food, or Educación. Contact Shelley Lay at slay@bcul.org for information about literacy classes, Karen Wike at kwike@bcul.org for information about technology classes, or Meggan Taylor at mtaylor@bcul.org for information about Family Support Services. Also provides afterschool programming for elementary, middle and high school students. Most programs are free and just require any form of photo ID, but subsidized, income based programs require documentation such as proof of residency, passport, birth certificate, etc.",
33,,Broome,Salud; Referencias a otros servicios; Programas para familias; Asistencia en casos de emergencia; Salud mental,Acceso a cobertura de salud; Apoyo psicológico; Alimentos; Programas para niños; Transportatión ,"Deposit Foundation, Inc.",119 Front St,,,Deposit,NY,13754,-75.426803,42.060640,(607) 467-4000,(607) 467-4399,depositfoundation@gmail.com,https://www.depositfoundation.com/programs,"lunes miercoles viernes 9:00AM-12:00PM, 1:00PM-4:00PM",Sí,No,No,Prueba de identidad,No requerido,Por donación,,"Provides transportation to medical appointments for Deposit and Sanford residents with no other means of transportation. Call preferably at least a week in advance. Provides an assistance and referral program as well for patients with other questions, for those in both Broome and Delaware Counties.",
34,,Broome,Educación,Clases de inglés,METS (Migrant Educación Tutorial and Support Services),168 Water St,Second floor,,Cortland,NY,13045,-75.914084,42.099363,(646) 734-5348,,chris.casler@cortland.edu,www.nysmigrant.org/mets,lunes - viernes 9:00AM-5:00PM,Maestros viajan a las casas de sus estudiantes,Sí,No,No,No requerido,Gratis,Tiene que llamar para una entrevista legal,Provide Clases de inglés services to people 21 years or younger,
35,"This office does not do Inmigración (deportación, ciudadanía y regularización) law.",Broome,Asistencia legal ,Otros casos legales; Ley familiar,"Legal aid Society of Mid-New York, Inc.",3 Otseningo St.,,,Binghamton,NY,13901,-75.896895,42.099826,(607) 231-5900,(607) 724-7211,mail@broomecouncil.net,http://www.lasmny.org,lunes - viernes 9:00AM-5:00PM,No,Sí,Sí,No,No requerido,Gratis,,"Provides legal services and representation to low-income population, Farmworker Project Inmigración (deportación, ciudadanía y regularización) Project located at Utica office.",
36,,Broome,Asistencia en casos de emergencia; Apoyo para víctimas; Salud mental; Vivienda,Alimentos; Acceso a cobertura de salud; Mejoramiento de la vivienda; Transportación,Council of Churches del Condado de Broom: Faith in Action Volunteers,21 Graham Ave,B-105 Van Hoesen Hall SUNY Cortland,,Binghamton,NY,13903,-76.191917,42.597302,(607) 724-9130,(607) 724-9148,Eblisso2@gmail.com,http://www.broomecouncil.net,lunes - viernes 8:30AM-4:30PM,Sí,No,No,"Sí, numero de seguridad",No requerido,Transporte: sugerido $2 donación,,"Provides transportation, generally for medical appointments, for reigstered individuals who meet specific criteria. Must provide notice at least one week ahead; must provide referral from provider, family member or self. A home assessment must be conducted, which takes up to 2 weeks. Also have a jail ministry, food pantries, build ramps for wheelchair accessibility, and do hospital ministries",
37,,Broome,Asistencia en casos de emergencia,Alimentos,Faith United Methodist Church,1449 Quaker Road,,,Barker,NY,14012,-78.555096,43.338129,(716) 795-9945,,https://empire.salvationarmy.org/EmpireNY/contact,http://www.unyumc.org/resources/church/barker-faith-umc,Llamar por una cita,No,Se puede pedir,Se puede pedir,No,No requerido,Gratis,,,
38,,Cattaraugus,Educación,Clases de inglés; Cursos para adultos,Literacy Volunteers of Cattaraugus County,134 North 2nd St,Olean Public Library,,Olean,NY,14760,-78.432706,42.075863,(716) 372-8627,(716) 372-8651,khoughton@literacynewyork.org; olean1@aol.com,https://oleanny.com/Members/Family-Community-And-Non-Profit/Organization/Literacy-Volunteers-of-Cattaraugus-County.aspx?id=4369&type=company,lunes-viernes 8:00AMAM-4:00PMPM,No,No,No,Prueba de identidad,No requerido,Gratis,,"Individual literacy tutoring for adults, ESL tutoring.",
39,,Cattaraugus,Educación; Trabajo,Conseguir trabajo; Asesoramiento de carrera; Entrenamiento para el trabajo,Cattaraugus One-Stop Career Center,175 N. Union St,,,Olean,NY,14760,-78.430322,42.079065,(716) 373-1880,(716) 372-3564,https://www.cattco.org/contact-us,https://www.cattco.org/one-stop,lunes-viernes 8:30AM-4:30PM,Sí,"Sí, español",No,PRECAUTIÓN: Prueba de ciudadanía o estatus legal para trabajar puede ser requerido por algunos programas,PRECAUTIÓN: Prueba de ciudadanía o estatus legal para trabajar puede ser requerido por algunos programas,Gratis,,"One-stop workforce services, job database, career services and counseling, job training and education assistance.",
40,,Cattaraugus,Salud; Vivienda; Salud mental; Apoyo para víctimas; Ayuda financiera; Asistencia en casos de emergencia; Programas para familias; Referencias a otros servicios,Acceso a cobertura de salud; Asistencia para pagos de utilidad; Violencia domestica; Apoyo psicológico; Ayuda financiera de emergencia; Alimentos; Programas para niños; Apoyo educativo; Centros para el cuidado de niños,Catholic Charities,2636 W. State St,Suite 301,,Olean,NY,14760,-78.461388,42.078277,(716) 372-0101,,https://www.ccwny.org/contact-us,www.ccwny.org,lunes-viernes 8:45AM- 4:45PM,No,Se puede pedir,No,No,No requerido,"Costos pequeños por algunos servicios, la mayoria son gratis",,"Domestic Violence Program for Men, Food, Medications and Utilities, Individual, Children & Family Counseling, Kinship Caregiver Program, Our Kids Parent Education and Awareness Program, Victim services…",
41,,Cattaraugus,Servicios para los ancianos; Ayuda financiera; Vivienda; Apoyo para víctimas; Salud mental; Asistencia en casos de emergencia; Programas para familias; Referencias a otros servicios,Programas para niños,"Cattaraugus Community Action, Inc. [CCA]",25 Jefferson St,,,Salamanca,NY,14779,-78.717278,42.153584,(716) 945-1041,716-945-1301,https://www.ccaction.org/contact/,www.ccaction.org,lunes-viernes 8:00AM-5:00PM,No,Se puede pedir,No,Depende el programa,No requerido,Gratis,,"24/7 hotlline; CCA offers services to victims, youth and family, homeless, and low-income. We provide self-sufficiency skills, energy conservation, and housing rehabilitation. Soup kitchen, emergency food, emergency prescription help, summer lunch for children. 888-945-3970 victim service hotline.",
42,,Cattaraugus,Asistencia legal; Referencias a otros servicios,"Inmigración (deportación, ciudadanía y regularización); Derechos laborales; Otros casos legales","Legal Assistance of Western New York, Inc.",103 South Barry Street,,,Olean,NY,14760,-78.427611,42.077372,(716) 373-4701,(716) 373-7771,,www.lawny.org,lunes-viernes 9:00AM-5:00PM,,"Sí, español",No,Depende el caso legal,No requerido,Gratis,Tiene que llamar para una entrevista legal,,
43,,Cattaraugus,Educación,Clases de inglés; Cursos para adultos; Entrenamiento para el trabajo; Conseguir trabajo; Capacitación profesional,CORE,175 N. Union St.,,,Olean,NY,14760,-78.430322,42.079065,(716) 373-1880 ext. 277,,cgraff@lwny.org,http://core2learn.org/index.html,lunes-viernes 8:30AM-4:00PM,No,Sí,No,No,No requerido,Gratis,,,
44,,Cattaraugus,Programas para familias; Apoyo para víctimas; Salud; Salud mental,Apoyo para los padres; Apoyo psicológico; Programas para niños; Tratamiento para alcoholismo/drogadicción; Servicios para víctimas,Southern Tier Health Care System Inc,150 North Union Street,,,Olean ,NY,14760,-78.429186,42.079007,(716) 372-0614,(716) 372-5217,https://www.sthcs.org/contact-us.html,http://www.sthcs.org/,lunes-viernes 8:00AM-4:00PM,,Se puede pedir,No,Prueba de identidad; ,No requerido,Varía según los servicios,,,
45,,Cayuga,Educación,Clases de inglés; Cursos para adultos,Literacy Volunteers of Cayuga County (Literacy New York) ,12 Allen St,,,Auburn,NY,13021,-76.587985,42.941897,(315) 253-5241,315-253-5996,lvacayco@dreamscape.com,https://www.facebook.com/pg/literacycayuga/about/?ref=page_internal / https://www.literacynewyork.org/location/view/11/Literacy-Volunteers-of-Cayuga-County,lunes-viernes 9:30AM-4:00PM,No,"Sí, español",No,Prueba de identidad,No requerido,Gratis,,Provides ESL and adult basic education.,
46,,Cayuga,Asistencia en casos de emergencia; Apoyo para víctimas; Vivienda; Ayuda financiera; Programas para familias; Asistencia legal; Trabajo,Ropa; Otras necesidades; Violencia domestica; Servicios para víctimas; Vivienda accesible; Apoyo para los padres; Programas para niños; Ley familiar; Asistencia para pagos de utilidad; Conseguir trabajo; Entrenamiento para el trabajo; Asesoramiento de carrera,"Cayuga-Seneca Community Action Agency, Inc. (Agency Heahquarters)",89 York St,Suite 1,,Auburn,NY,13021,-76.575283,42.950206,(315) 255-1703,(315) 252-3397,site1@cscaa.com,cscaa.com,lunes-viernes 9:00AM-5:00PM,,No,No,Prueba de identidad,No requerido,Gratis,,,
47,,Cayuga,Programas para familias; Educación,Programas para niños; Apoyo educativo; Centros para el cuidado de niños,"Cayuga-Seneca Community Action Agency, Inc. (Site 2)",1 Brookfield Place,,,Auburn,NY,13021,-76.587824,42.932025,(315) 252-0038,(315) 258-8569,site1@cscaa.com,cscaa.com,lunes-viernes 9:00AM-5:00PM,,"Sí, español",No,Depende el caso legal,No requerido,Gratis,,,
48,,Cayuga,Asistencia legal,Otros casos legales,City of Auburn Human Rights Commission,17 William St,,,Auburn,NY,13021,-76.567707,42.929674,(315) 252-2929,(315) 253-3243,kburns@ci.auburn.ny.us,https://www.auburnny.gov/human-rights-commission,martes-jueves 9:00AM-3:00PM; Servicios legales: viernes 9:00AM-1:30PM,No,Se puede pedir,No,No,No requerido,Gratis,,"Provides answers to human rights questions, investigates discrimination charges, provides legal services.",
