id,internal-note,county,category,subcategory,organization,address,address2,pobox,city,state,zipcode,longitude,latitude,phone,fax,email,website,hours,transportation,translation,bilingual,documents,citizenship,cost,notes,amy-notes
11,,Albany,Legal Aid,Immigration law,Albany County Bar Association,112 State Street,Suite 545,,Albany,NY,12207,-73.754219,42.650051,(518) 445-7691,(518) 445-7511,acba@albanycountybar.com,www.albanycountybar.org,M-F 8:30 AM-4:30 PM,No,Yes,No,No,Not required,No cost,Association provides pro bono work.,
12,,Albany,Legal Aid,Immigration law; Family law; Other law; Labor disputes,Empire Justice Center,119 Washington Ave,,,Albany,NY,12210,-73.759864,42.655554,(518) 462-6831,(518) 935-2852,bweiner@empirejustice.org,www.empirejustice.org,M-F 9:00AM-5:00 PM,,Yes,Yes,No,Not required,No cost,"Works on immigration cases relevant to obtaining public benefits or documenting domestic violence. Work through other legal service programs. Deal with cases regarding Civil Rights, Domestic Violence, Economic Justice, Housing, Education, Government Benefits, Health, Immigration, Social Security.",
13,,Albany,Legal Aid,Family law; Other law; Labor disputes,"Legal Aid Society of Northeastern New York, Inc.",95 Central Ave,,,Albany,NY,12206,-73.766222,42.659576,(518) 462-6765,(518) 427-8352,please call,www.lasnny.org,M-F 9:00AM-12:00 PM; 1:00 PM-5:00 PM,No,Yes,No,Proof of county residency,Caution: proof of legal status required,No cost,"Counties Served: Albany, Columbia, Greene, Rensselaer, Schenectady  Case Types:Bankruptcy; Dissolution of Marriage, Domestic Violence, Education, Elder Law, Employment, Health, Housing, Public Benefits, Termination of Parental Rights, Wills and Estates.",
14,,Albany,Legal Aid,Immigration law; Family law; Other law; Labor disputes,The Legal Project,24 Aviation Road,,,Albany,NY,12205,-73.803101,42.715554,(518) 435-1770,(518) 435-1773,info@legalproject.org,http://www.legalproject.org/,M-F 9:00AM-5:00 PM,No,"Yes, Spanish, Turkish, Arabic, French",Yes,Yes,Not required,Yes,"Counties Served:ë_Albany, Rensselaer, Saratoga, Schenectady. Location in Troy: Troy Public Library (Rensselaer County) 100 Second Street Troy, NY 12180 Phone: (518) 274.7071 Fax: (518) 274.9154 ë_ Website: thetroylibrary.org Available Hours: First Thursday of every month. Case Types:ë_AIDS/HIV, Adoption, Bankruptcy, Consumer, Custody, Dissolution of Marriage, Domestic Violence, Education, Elder Law, Employment, Health, Housing, Immigration, Individual Rights, Juvenile, Public Benefits, Real Estate, Termination of Parental Rights, Torts, Wills and Estates. Case Restrictions:ë_The Legal Clinics are education and consultation only. Representation in the Affordable Housing Attorney Assistance program, the Bankruptcy & Credit program and the Domestic Violence Legal Connection is offered at pro bono or reduced fee, depending upon the client's income. We offer pro bono services to 200% of the federal poverty guideline. We can provide referrals to private Immigration Attorneys to qualified clients. --  Our Staff can assist you complete certain forms at no cost, such as N 400 Application for Naturalization, N600 Application for Certificate of Citizenship, Consideration for Deferred Action for Childhood Arrivals (DACA), etc.",
15,,Albany,Legal Aid,Immigration law,New York State Bar Association Department of Pro Bono Affairs,1 Elk Street,,,Albany,NY,12207,-73.754160,42.653159,(518) 463-3200,(518) 463-5993,pro bono@aila.org,https://nysba.org,M-F 9:00AM-5:00 PM,No,Yes,By appointment,Yes,Not required,No,List of statewide members. Referral service.,
16,,Albany,Labor,Job search assistance; Training,The Workforce Solution Center of Albany,175 Central Ave,"3rd Floor, Front",,Albany,NY,12206,-73.768352,42.661769,(518) 242-8220,,jjones@albanyny.gov,www.capreg.org,M-F 8:30 AM-5:00 PM,No,Yes,No,Yes,"Citizenship not required to access job search assistance, but is required for some training programs",No cost,Does not have programs addressing agriculture.,
17,,Allegany,Labor; Programs for families; Education,Job search assistance; Training; Career education; Programs for kids,Allegany County New York Employment and Training Department,7 Wells Lane,,,Belmont,NY,14813,-78.034203,42.223147,(585) 268-9240,(585) 268-5176,alleganyent@alleganyco.com,https://www.alleganyco.com/departments/employment-and-training/,M-F 8:00AM-4:30PM; Summer hours M-F 8:00AM-4:00 PM,No,By appointment,By appointment,Yes,Caution: Proof of citizenship may be required for some programs,No cost,"One-stop workforce services, job database, career services and counseling, referrals and help paying for training and education, clothes.",AS-organized info/need to call
18,,Allegany,Financial help; Education; Programs for families; Mental health; Housing,Personal finances; Programs for kids; Emergency financial aid; Food; Domestic violence; Affordable housing; Home improvements; Utility assistance,"Allegany County Community Opportunities and Rural Development, Inc. [ACCORD]",84 Schuyler St,,,Belmont,NY,14813,-78.031134,42.225137,(585) 268-7605,(585) 268-7241,info@accordcorp.org,www.accordcorp.org,M-Th 8:00AM-4:00 PM; F 8:00AM-3:30PM,"No, but bus tokens/gas cards provided when funds are available",By appointment,By appointment,Yes,Not required,No cost,"Food pantry, head start, emergency hotline and shelter for victims of domestic violence, advocacy programs for homelessness.",AS-organized info/need to call
19,,Allegany,Mental health; Emergency assistance; Programs for families; Housing; Financial help; Referral to other agencies,Psychological support; Domestic violence; Food; Parenting support; Utility assistance; Emergency financial aid,Catholic Charities of Western New York,67 E Pearl St,,,Wellsville,NY,14895,-77.948533,42.124343,(585) 593-2015,,please call,https://www.nyconnects.ny.gov/providers/catholic-charities-of-western-new-york-32,By appointment,No,"No, sometimes someone in another office Spanish speaker",No,No,Not required,"No cost, except counseling","Emergency food and utility bill assistance, counseling.",AS-organized info/need to call
20,,Allegany,Education; Labor,ESL; Adult education; Career education; Job search assistance; Training,CORE,5455 NY 19,,,Belmont,NY,14813,-78.052737,42.235716,(844)  WNY-CORE; (844) 969-2673,(585) 228.1015,cgraff@lwny.org,http://core2learn.org/index.html,M-F 8:30 AM-4:00 PM,No,Yes,Yes,No,Not required,No cost,,
21,,Allegany,Elderly Services; Referral to other agencies; Health,,New York State Office of the Aging,6085 Route 19,,,Belmont,NY,14813,-78.059738,42.251382,(585) 268-9390,(585) 268-9657,contact page on website,www.aging.ny.org,M-F 9:00AM- 5:00 PM,No,No,No,No,Caution: Proof of citizenship may be required for some programs,Varies,,
22,,Allegany,Education,ESL; Adult education,"Southern Tier Traveling Teacher, Inc.",79 1/2 North Main Street,,,Wellsville,NY,14895,-77.949011,42.120859,(585) 593-5921,,sttt1@verizon.net,https://www.ndl.org/southern-tier-traveling-teacher-inc,M-F 9:00 AM- 4:00 PM,Teachers travel to students,Yes,No,No,Not required,No cost,Only serve people 16 years and older,
23,,Bronx,Health; Mental health,Psychological assistance; General medicine,BOOM! Health Wellness Center,3144 3rd Ave,,,Bronx,NY,10451,-73.910560,40.822232,(718) 295-BOOM,,info@boomhealth.org,https://www.boomhealth.org,Prevention programming M-F 9:00 - 5:00 PM; Youth Drop-in Center Tu-F 2:00 PM - 7:00 PM; Sat 12:00 PM-5:00 PM,No,Yes,No,No,Not required,No,Cases: HIV/AIDS.,AS-organized info/need to call
24,,Bronx,Health; Mental health,Psychological assistance; General medicine,BOOM! Harm Reduction Center,226 East 144th Street,,,Bronx,NY,10451,-73.925471,40.815725,(718) 295-BOOM,,info@boomhealth.org,https://www.boomhealth.org,M-F 9:00 - 6:30 PM; Sat 9:00AM-3:00 PM,No,Yes,No,ID: Health insurance card if you have one,Not required,Varies,Cases: HIV/AIDS.,AS-organized info/need to call
25,,Bronx,Labor,Job search assistance; Training,NYC Workforce1 Career Center,2619 Atlantic Ave,,,Brooklyn,NY,11207,-73.897747,40.675867,(646) 606-0301 ,,contact page on website,https://access.nyc.gov/location/workforce1-career-center-east-new-york/,M-F 8:30 AM-5:00 PM,No,Yes,No,No,"Not required for in office services, but may be required by employers who they will connect you with",No costs,Full service.,AS-organized info/need to call
26,,Broome,Legal Aid; Education; Labor; Programs for families,Immigration law; ESL: Adult education; Citizenship preparation; Career education; Job search assistance; Training; Programs for kids,American Civic Association,131 Front St,,,Binghamton,NY,13905,-75.917677,42.099792,(607) 723-9419,(607) 723-0023,contact@americancivic.com,www.americancivic.com,M-Th 9:00AM-4:00 PM; F 9:00AM-2:00 PM,No,Yes,Yes,No,"Not required for ESL classes, but proof of citizenship required for some programs",,"Assists immigrants and refugees with a variety of issues, including counseling, resettlement, citizenship issues, interpreting, translating, and ESL.",AS-organized info/need to call
27,,Broome,Education; Labor,ESL; Adult education,Broome-Tioga Board of Cooperative Educational Services (BOCES),435 Glenwood Rd,,,Binghamton,NY,13905,-75.931826,42.129738,(607) 763-3300,,adulted@btboces.org; dsbarra@btboces.org,www.btboces.org,M-F 7:00AM-3:00 PM,No,No,No,Proof of address,"Not required for ESL classes, but proof of citizenship required for some programs",Depends on the program,"For information about Programs for families, contact Linda Quaranto at 607-763-3233 or lquarant@btboces.org. Provides GED and ESL classes. Nighttime ESL classes offered at the Main Campus all summer. Show up to register.",AS-organized info/need to call
28,,Broome,Education,Adult education; ESL,"Literacy Volunteers of Broome/Tioga Counties, Inc.",185 Court St,,,Binghamton,NY,13901,-75.906862,42.100247,(607) 778-6406,(607) 778-6402,lvbtc@gmail.com; contact page on website,https://broometiogaliteracy.org/contact/,M-F 10:30 AM-2:30PM; Other hours by appointment,No,No,No,ID: will ask for SS# but it is not required,Not required,No cost,"Computer lab available, called TALL (Tioga Adult Learning Lab). Call to register in order to use the lab. ESL is one-on-one in a public place, 12 hours of instruction required with a pre- and post-test.",AS-organized info/need to call
29,,Broome,Education,ESL,METS (Migrant Education Tutorial and Support Services),21 Graham Ave,B-105 Van Hoesen Hall SUNY Cortland,,Cortland,NY,13045,-73.942477,40.701926,(646) 734-5348,,Eblisso2@gmail.com,www.nysmigrant.org/mets,M-F 9:00AM-5:00 PM,Teachers travel to students,Yes,No,No,Not required,No cost,Provide ESL services to people 21 years or younger,
30,,Broome,Programs for families; Emergency assistance; Housing,Programs for kids; Emergency shelter; Other needs; Affordable housing,"Opportunities For Broome, Inc",5 West State St,,,Binghamton,NY,13901,-75.908056,42.108234,(607) 723-6493,(607) 723-6497,contact page on website,http://ofbonline.org/,M-F 8:00AM-4:00 PM,No,No,No,No,Not required,Depends on the program,"Services include family development, Head Start (five licensed centers throughout rural Broome County), Homeless Assistance, Low and Moderate Income Housing",AS-organized info/need to call
31,,Broome,Programs for families; Labor,Parenting support; Educational support,Urban League of Broome County,85 Walnut Street,(Temporary Main Office),,Binghamton,NY,13901,-75.923534,42.100507,(607) 723-7303,(607) 723-5827,contact page on website,http://www.bcul.org,M-F 9:00AM-4:00 PM,No,No,By appointment,No,Not required,Small fee,"Provides literacy and technology classes tailored to meet the needs of the individual. Also operates the _ÑÒCenter of Help,_Ñ which provides services and referrals to individuals in need of housing, employment, food, or education. Contact Shelley Lay at slay@bcul.org for information about literacy classes, Karen Wike at kwike@bcul.org for information about technology classes, or Meggan Taylor at mtaylor@bcul.org for information about Family Support Services. Also provides afterschool programming for elementary, middle and high school students. Most programs are free and just require any form of photo ID, but subsidized, income based programs require documentation such as proof of residency, passport, birth certificate, etc.",
32,,Broome,Labor,Job search assistance; Training,Urban League of Broome County - Technology Center,36 Exchange Street,,,Binghamton,NY,13901,-75.908988,42.096510,(607) 772-4765,(607) 772-4771,contact page on website,http://www.bcul.org,M-F 9:00AM-4:00 PM,No,No,By appointment,No,Not required,Small fee,"Provides literacy and technology classes tailored to meet the needs of the individual. Also operates the _ÑÒCenter of Help,_Ñ which provides services and referrals to individuals in need of housing, employment, food, or education. Contact Shelley Lay at slay@bcul.org for information about literacy classes, Karen Wike at kwike@bcul.org for information about technology classes, or Meggan Taylor at mtaylor@bcul.org for information about Family Support Services. Also provides afterschool programming for elementary, middle and high school students. Most programs are free and just require any form of photo ID, but subsidized, income based programs require documentation such as proof of residency, passport, birth certificate, etc.",
33,,Broome,Health; Referral to other agencies; Programs for families; Emergency assistance; Mental health,Health access; Psychological support; Food; Programs for kids; Transportation,"Deposit Foundation, Inc.",119 Front St,,,Deposit,NY,13754,-75.426803,42.060640,(607) 467-4000,(607) 467-4399,depositfoundation@gmail.com,https://www.depositfoundation.com/programs,M W F 9:00AM-12:00 PM; 1:00 PM-4:00 PM,Yes,No,No,ID,Not required,By donation,"Provides transportation to medical appointments for Deposit and Sanford residents with no other means of transportation. Call preferably at least a week in advance. Provides an assistance and referral program as well for patients with other questions, for those in both Broome and Delaware Counties.",
34,,Broome,Legal Aid,Other law; Family law,"Legal Aid Society of Mid-New York, Inc.",168 Water St,Second floor,,Binghamton,NY,13901,-75.914084,42.099363,(607) 231-5900,(607) 724-7211,please call,http://www.lasmny.org,M-F 9:00AM-5:00 PM,No,Yes,Yes,No,Not required,No cost,"Provides legal services and representation to low-income population, Farmworker Project Immigration Project located at Utica office.",
35,,Broome,Emergency assistance; Victim services; Mental health; Housing,Food; Health accessibility; Home improvements; Transportation,Broome County Council of Churches: Faith in Action Volunteers,3 Otseningo St.,,,Binghamton,NY,13903,-75.896895,42.099826,(607) 724-9130,(607) 724-9148,mail@broomecouncil.net,http://www.broomecouncil.net,M-F 8:30 AM-4:30PM,Yes,No,No,"Yes, Social Security number",Caution: Social security number required,Transportation: $2 donation suggested,"Provides transportation, generally for medical appointments, for registered individuals who meet specific criteria. Must provide notice at least one week ahead; must provide referral from provider, family member or self. A home assessment must be conducted, which takes up to 2 weeks. Also have a jail ministry, food pantries, build ramps for wheelchair accessibility, and do hospital ministries",
36,,Broome,Education,ESL,METS (Migrant Education Tutorial and Support Services),21 Graham Ave,B-105 Van Hoesen Hall SUNY Cortland,,Cortland,NY,13045,-73.942477,40.701926,(646) 734-5348,,Eblisso2@gmail.com,www.nysmigrant.org/mets,M-F 9:00AM-5:00 PM,Teachers travel to students,Yes,No,No,Not required,No cost,Provide ESL services to people 21 years or younger,
37,,Broome,Emergency assistance,Food,Faith United Methodist Church,1449 Quaker Road,,,Barker,NY,14012,-78.555096,43.338129,(716) 795-9945,,contact page on website,http://www.unyumc.org/resources/church/barker-faith-umc,Call for appointment,No,By appointment,By appointment,No,Not required,No cost,,
38,,Cattaraugus,Education,ESL; Adult education,Literacy Volunteers of Cattaraugus County,134 North 2nd St,Olean Public Library,,Olean,NY,14760,-78.432706,42.075863,(716) 372-8627,(716) 372-8651,khoughton@literacynewyork.org; olean1@aol.com,https://oleanny.com/Members/Family-Community-And-Non-Profit/Organization/Literacy-Volunteers-of-Cattaraugus-County.aspx?id=4369&type=company,M-F 8:00AM-4:00 PM,No,No,No,ID,Not required,No cost,"Individual literacy tutoring for adults, ESL tutoring.",
39,,Cattaraugus,Labor,Job search assistance; Career advice; Training,Cattaraugus One-Stop Career Center,175 N. Union St,,,Olean,NY,14760,-78.430322,42.079065,(716) 373-1880,(716) 372-3564,,https://www.cattco.org/one-stop,M-F 8:30 AM-4:30PM,Yes,"Yes, Spanish",No,May require proof of legal working status,Caution: May require proof of legal working status,No cost,"One-stop workforce services, job database, career services and counseling, job training and education assistance.",
40,,Cattaraugus,Health; Housing; Mental Health; Victims Support; Financial help; Emergency Assistance; Programs for families; Referral to other agencies,Health accessibility; Utility assistance; Domestic violence; Psychological support; Emergency financial aid; Food; Medicine; Programs for kids; Educational support; Childcare,Catholic Charities,2636 W. State St,Suite 301,,Olean,NY,14760,-78.461388,42.078277,(716) 372-0101,,,www.ccwny.org,M-F 8:45AM- 4:45PM,No,By appointment,No,Depends on the program,Not required,Depends on the service. Mostly Free --,"Domestic Violence Program for Men, Food, Medications and Utilities, Individual, Children & Family Counseling, Kinship Caregiver Program, Our Kids Parent Education and Awareness Program, Victim Services…",
41,,Cattaraugus,Elderly services; Financial help; Housing; Victim support; Mental health; Emergency assistance; Programs for families; Referral to agencies,Housing improvements; Affordable housing; Utility assistance; Domestic violence; Victim services; Psychological support; Food; Programs for kids; Educational Support,"Cattaraugus Community Action, Inc. [CCA]",25 Jefferson St,,,Salamanca,NY,14779,-78.717278,42.153584,(716) 945-1041,(716) 945-1301,,www.ccaction.org,M-F 8:00AM-5:00 PM,No,By appointment,No,Depends on the program,Not required,No cost,"24/7 hotline; CCA offers services to victims, youth and family, homeless, and low-income. We provide self-sufficiency skills, energy conservation, and housing rehabilitation. Soup kitchen, emergency food, emergency prescription help, summer lunch for children. 888-945-3970 victim service hotline.",
42,,Cattaraugus,Legal aid; Referral to other agencies,"Immigration law (deportation and removal, citizenship and naturalization); Labor rights; Other law","Legal Assistance of Western New York, Inc.",103 South Barry Street,,,Olean,NY,14760,-78.427611,42.077372,(716) 373-4701,(716) 373-7771,,www.lawny.org,M-F 9:00AM-5:00 PM,,By appointment,No,Depends on the case,Not required,No cost,,
43,,Cattaraugus,Education; Labor,ESL; Adult education; Career education; Job search assistance; Training,CORE,175 N. Union St.,,,Olean,NY,14760,-78.430322,42.079065,(716) 373-1880 ext. 277,,cgraff@lwny.org,http://core2learn.org/index.html,M-F 8:30 AM-4:00 PM,No,Yes,No,No,Not required,No cost,,
44,,Cattaraugus,Programs for families; Victim Support; Health; Mental health; Victims support,Parenting support; Psychological support; Programs for kids; Drug/alcohol abuse; Victim services,Southern Tier Health Care System Inc,150 North Union Street,,,Olean,NY,14760,-78.429186,42.079007,(716) 372-0614,(716) 372-5217,,http://www.sthcs.org/,M-F 8:00AM-4:00 PM,,By appointment,No,ID; Health Insurance card if you have one,Not required,Depends on the service --,,
45,,Cayuga,Education,ESL; Adult education,Literacy Volunteers of Cayuga County (Literacy New York),12 Allen St,,,Auburn,NY,13021,-76.587985,42.941897,(315) 253-5241,(315) 253-5996,lvacayco@dreamscape.com,https://www.facebook.com/pg/literacycayuga/about/?ref=page_internal / https://www.literacynewyork.org/location/view/11/Literacy-Volunteers-of-Cayuga-County,M-F 9:30 AM-4:00 PM,No,By appointment,No,ID,Not required,No cost,Provides ESL and adult basic education.,
46,,Cayuga,Emergency assistance; Victims support; Housing; Financial help; Programs for families; Legal aid; Housing; Labor,Clothing; Other needs; Domestic violence; Victim Services; Affordable Housing; Parenting Support; Programs for kids; Family law; Utility Assistance; Job search assistance; Training; Career advice,"Cayuga-Seneca Community Action Agency, Inc. (Agency Headquarters)",89 York St,Suite 1,,Auburn,NY,13021,-76.575283,42.950206,(315) 255-1703,(315) 252-3397,site1@cscaa.com,cscaa.com,M-F 9:00AM-5:00 PM,,No,No,Depends on the program,Not required,No cost,,
47,,Cayuga,Programs for families; Education,Programs for kids; Educational support; Child care,"Cayuga-Seneca Community Action Agency, Inc. (Site 2)",1 Brookfield Place,,,Auburn,NY,13021,-76.587824,42.932025,(315) 252-0038,(315) 258-8569,site1@cscaa.com,cscaa.com,M-F 9:00AM-5:00 PM,,"Yes, Spanish",No,Depends on the program,Not required,No cost,,
48,,Cayuga,Legal aid,Other law,City of Auburn Human Rights Commission,17 William St,,,Auburn,NY,13021,-76.567707,42.929674,(315) 252-2929,(315) 253-3243,kburns@ci.auburn.ny.us,https://www.auburnny.gov/human-rights-commission,T-TH 9:00AM-3:00 PM; Legal services F 9:00AM-1:30PM,No,By appointment,No,No,Not required,No cost,"Provides answers to human rights questions, investigates discrimination charges, provides legal services.",
49,,Cayuga,Health; Referral to other agencies,Women’s health; General medicine; Specialty medicine; Dental; Health accessibility; Farm visits; Psychological support; Drug/alcohol abuse; Childcare; Programs for kids,Port Byron Community Health Center,60 Main St,,,Port Byron,NY,13140,-76.623890,43.032433,(315) 776-9700,,info@flchealth.org,https://localcommunityhealth.com/medical/agricultural-workers/,M 8:00AM-8:00 PM; T 8:00AM-5:00 PM; W 8:00AM-6:00 PM; Th-F 8:00AM-4:00 PM,Yes,Yes,Yes,ID (Foreign accepted); Health insurance card if you have one,Not required,Sliding scale,"Outreach, medical services, dental services, substance abuse services, pharmaceuticals, social services, transportation.",
50,,Chautauqua,Health; Mental health; Programs for families,Women’s health; General medicine; Specialty medicine; Dental; Health accessibility; Farm visits,"Chautauqua Opportunities, Inc. ",17 W. Courtney Street,,,Dunkirk,NY,14048,-79.321083,42.480201,(716) 366-3333 ,(716) 366-7366,bmulkin@chautopp.org,www.chautauquaopportunities.com,M-F 8:30 AM-4:30PM; Tu and Th 8:30 AM-6:00 PM,Yes,"Yes, Spanish",Yes,ID; Health Insurance card if you have one,Not required,Sliding scale,"Housing, Child care, Head start, Maternal and Child Health Care, Homecare Service Department, Disability services.",
51,,Chautauqua,Health; Programs for Families; Referral to other agencies,General medicine; Dental; Health Accessibility; Programs for kids; Educational support; Childcare,Agri-Business Child Development (ABCD)-Fredonia,145 E. Main St,,,Fredonia,NY,14063,-79.324379,42.443452,(716) 672-5395,(716) 679-0777,agrifred@netsync.net,http://www.abcdny.org/locations,M-F 7:30 AM-4:00 PM,Yes,"Yes, Spanish",Yes,Birth certificate of kids; parents work (or school enrollment) verification,,No cost,"Day care for children of migrant farmworkers 8 weeks to 5 years old, summer program for school-aged children, nurses, meals, and disability services.",
52,,Chautauqua,Education; Labor,Adult education; ESL; Career education; Training; Career advice; Job search assistance,Erie 2-Chautauqua-Cattaraugus BOCES: Adult Education - Angola,8685 Erie Road,,,Angola,NY,14006,-79.040011,42.648411,(716) 549-4454; (800) 228-1184,,,www.e2ccb.org,M-F 8:00AM-4:00 PM,No,No,No,Depends on the program,Depends on the service,No cost,"GED, ESL, Literacy for adults, farm safety courses.",
53,,Chautauqua,Education,"ESL, Adult education; Career education",Literacy Volunteers of Chautauqua County,10 Park Place,,,Fredonia,NY,14063,-79.332795,42.440058,(716) 366-4438,,lvacc@netsync.net,https://www.lvccread.org/,W-SAT 10:00AM-7:00 PM,No,No,No,ID,Not required,No cost,"Individual literacy tutoring, ESL training, GED services.",
54,,Chautauqua,Labor,Job search assistance; Training; Career advice,Chautauqua Works - North County Dunkirk,407 Central Ave,,,Dunkirk,NY,14048,-79.334684,42.482763,(716) 366-9015; (877) 424-9031,(716) 366-0502,kgeise@chautauquaworks.com,www.chautauquaworks.com,M-F 8:30 AM-4:30PM,,"Yes, Spanish",No,Job search services open to all; may required proof of legal working status to enroll,Caution: requires proof of ability to work legally,No cost,"One-stop workforce services, job database, career services and counseling, employment workshops, referrals for ESL and literacy training, referrals and help paying for training and education, transportation and clothes.",
55,,Chautauqua,Labor,Job search assistance; Training; Career advice,Chautauqua Works - South County Jamestown,4 E. 3rd Street,,,Jamestown,NY,14701,-79.241093,42.096340,(716) 661-9553; (877) 424-9031,(716) 664-9184,kgeise@chautauquaworks.com,www.chautauquaworks.com,M-F 8:30 AM-4:30PM,,"Yes, Spanish",No,Job search services open to all; may required proof of legal working status to enroll,Caution: requires proof of ability to work legally,No cost,"One-stop workforce services, job database, career services and counseling, employment workshops, referrals for ESL and literacy training, referrals and help paying for training and education, transportation and clothes.",
56,,Chautauqua,Financial help; Health; Mental Health; Victim support; Housing; Emergency assistance; Programs for families; Referral to other agencies,Food; Medicine; Clothing; Other needs; Emergency financial aid; Health accessibility; Psychological support; Domestic violence; Utility assistance; Programs for kids; Parenting support,Catholic Charities - Dunkirk,425 Main Street,,,Dunkirk,NY,14048,-79.328344,42.482993,(716) 366-3533,(716) 363-1184,charity.lowry@ccwny.org,https://www.ccwny.org/location/browse?form_name=location_display_filter_block&form_event=submit&location_name=&service_id=&city=Dunkirk&zip_radius=5&zip_code=&submit_button=Search,M-F 8:45AM-4:30PM,No,By appointment,No,No,Not required,No cost/Sliding scale fee,"Family counseling, food emergency assistance, help pay for prescription medication, clothing.",
